galaxy,Mb_proxy,Vflat_kms
CamB,72930.35115844001,20.1
D564-8,11682.172672810002,25.0
D631-7,155257.51314528997,58.5
DDO064,620460.2622490004,46.9
DDO154,80540.85072784004,48.2
DDO161,917925.33428964,67.5
DDO168,616357.67214025,55.0
DDO170,714549.1651620099,62.2
ESO079-G014,291471383.0360892,178.0
ESO116-G012,10796371.237402244,112.0
ESO444-G084,79277.94821955997,63.1
ESO563-G021,1505281405.2971177,321.0
F561-1,10893044.13270544,50.4
F563-1,3013697.736000252,112.5
F563-V1,904625.0694768401,29.5
F563-V2,8958727.226636892,118.0
F565-V2,1174827.2871302494,83.1
F567-2,2818741.810138809,52.2
F568-1,22502781.717874084,142.0
F568-3,15359038.337908812,120.0
F568-V1,5736481.496082089,118.0
F571-8,10238229.196562894,144.0
F571-V1,2359100.6248449595,84.3
F574-1,11698017.715932248,99.7
F574-2,4463464.529095691,40.0
F579-V1,26345497.25458226,114.0
F583-1,3445740.5404243595,86.9
F583-4,2563362.7035502507,69.9
IC2574,1723364.54779204,67.5
IC4202,1422951011.6681237,250.0
KK98-251,209865.32183235997,34.6
NGC0024,4100920.25031441,110.0
NGC0055,11789829.39815041,87.4
NGC0100,4315887.002323688,91.2
NGC0247,12845449.52621401,108.0
NGC0289,52352361.84724625,194.0
NGC0300,2927396.7827176885,97.0
NGC0801,870525917.6668463,238.0
NGC0891,1609102196.618179,234.0
NGC1003,5683796.440297962,115.0
NGC1090,196465381.12199882,176.0
NGC1705,339527.28648609,73.2
NGC2366,746754.0126904899,53.7
NGC2403,13711155.887020841,136.0
NGC2683,108590133.99428098,212.0
NGC2841,309678696.855638,323.0
NGC2903,232541897.7063002,216.0
NGC2915,455039.4232692101,86.5
NGC2955,2101049096.3562448,276.0
NGC2976,39902190.90848762,88.7
NGC2998,444085848.4156804,214.0
NGC3109,287309.4001562501,67.3
NGC3198,37050625.521006264,157.0
NGC3521,552449171.0547112,220.0
NGC3726,130599206.85600102,169.0
NGC3741,38062.137063040005,51.6
NGC3769,10126571.225310758,126.0
NGC3877,1363229719.8230927,171.0
NGC3893,262881801.01962602,194.0
